fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,pca,0.7891607171964145,0.8467966573816156,7954,2154,13,18,5,Site,2
2,pca,0.7291761666636353,0.7684797768479776,7957,2151,13,18,5,Site,2
3,pca,0.8155548176131275,0.8524440383736867,7919,2189,13,18,5,Site,2
4,pca,0.7681148434391549,0.7875275938189845,8296,1812,13,19,4,Site,2
5,pca,0.783244302130836,0.8224195338512763,8306,1802,13,19,4,Site,2
