fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,hvg,0.7650501267488495,0.8249767873723306,7953,2154,13,18,5,Site,2
2,hvg,0.7442689896733644,0.7866108786610879,7956,2151,13,18,5,Site,2
3,hvg,0.7731273053930726,0.8053016453382084,7919,2188,13,18,5,Site,2
4,hvg,0.7722585712182976,0.7875275938189845,8295,1812,13,19,4,Site,2
5,hvg,0.7849995280075771,0.8235294117647058,8305,1802,13,19,4,Site,2
