scheme,representation,macro_f1,accuracy,n_cells_used,n_classes_used,batch_covariate,n_batch_features,repeat_seed
random_split,hvg,0.8791548749313942,0.8597268806899856,83479,30,batch,13,42
random_split,pca,0.8247693870270744,0.8108528988979397,83479,30,batch,13,42
random_split,harmony,0.8193366966373875,0.8071993291806421,83479,30,batch,13,42
random_split,scvi,0.8940482338212339,0.8763176808816483,83479,30,batch,13,42
random_split,hvg,0.8832387224614207,0.8637997125059894,83479,30,batch,13,43
random_split,pca,0.826468639845508,0.8144465740297077,83479,30,batch,13,43
random_split,harmony,0.8222379886881359,0.8107930043124102,83479,30,batch,13,43
random_split,scvi,0.8944544589845711,0.8757187350263537,83479,30,batch,13,43
random_split,hvg,0.884182084663885,0.8651772879731672,83479,30,batch,13,44
random_split,pca,0.8249178294631621,0.8115117393387637,83479,30,batch,13,44
random_split,harmony,0.8183405334979316,0.8089961667465261,83479,30,batch,13,44
random_split,scvi,0.8978129432406731,0.8785936751317681,83479,30,batch,13,44
random_split,hvg,0.8783169394012114,0.8597867752755151,83479,30,batch,13,45
random_split,pca,0.8243277275694324,0.8107331097268807,83479,30,batch,13,45
random_split,harmony,0.8202509787100418,0.8087565884044082,83479,30,batch,13,45
random_split,scvi,0.8941254906122285,0.875,83479,30,batch,13,45
random_split,hvg,0.880760724625169,0.8600862482031625,83479,30,batch,13,46
random_split,pca,0.8265752121275663,0.8110924772400575,83479,30,batch,13,46
random_split,harmony,0.8186885860613625,0.8056420699568759,83479,30,batch,13,46
random_split,scvi,0.8940630965354678,0.8743411595591758,83479,30,batch,13,46
