,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3258,0,1,0,1,0,0
CD4+ T cells,0,3243,19,0,0,39,19
MAIT cells,0,10,2349,0,0,25,28
Myeloid cells,1,0,0,3318,1,0,0
NK cells,0,1,1,0,3246,9,36
TRAV1-2- CD8+ T cells,0,98,21,0,12,3105,79
gd T cells,0,22,42,0,30,68,2655
