,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,728,691,4,923,59,841,14
CD4+ T cells,759,710,1,995,51,795,9
MAIT cells,524,466,3,676,62,673,8
Myeloid cells,715,629,7,1010,74,874,11
NK cells,0,0,1,68,3223,1,0
TRAV1-2- CD8+ T cells,753,678,3,968,64,836,13
gd T cells,532,619,2,826,49,780,9
