fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,X_harmony,0.5462288387357285,0.7951807228915663,933,249,27,18,5,None,0
2,X_harmony,0.47497884134455204,0.7832817337461301,859,323,27,18,5,None,0
3,X_harmony,0.601336939843923,0.797752808988764,915,267,27,18,5,None,0
4,X_harmony,0.5810227391932113,0.7716049382716049,1020,162,27,19,4,None,0
5,X_harmony,0.5831589491023008,0.7513812154696132,1001,181,27,19,4,None,0
