,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,489,8,0,3,0,0,1,0,0,0,0,3,1,0,0,10,0,0
AT2,11,961,0,2,2,0,0,1,0,0,2,3,0,1,0,20,1,0
B cell lineage,0,0,497,0,28,0,4,1,0,0,0,6,0,2,0,0,1,20
Basal,0,6,0,812,1,0,0,0,0,1,0,0,0,1,0,64,0,3
Dendritic cells,0,2,34,0,854,0,0,0,0,0,0,76,0,39,0,3,1,5
EC arterial,0,1,0,1,0,352,84,107,0,0,0,0,0,1,1,0,0,0
EC capillary,1,1,1,0,0,55,431,14,1,0,1,0,0,2,0,0,3,2
EC venous,0,0,1,0,0,88,40,734,1,1,1,0,1,0,0,2,2,0
Fibroblasts,0,2,0,1,0,0,0,0,717,0,1,0,1,3,1,0,1,0
Innate lymphoid cell NK,0,0,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,83
Lymphatic EC mature,0,0,0,0,0,0,5,2,0,0,374,0,0,1,0,0,0,0
Macrophages,0,3,1,1,66,0,1,0,0,0,0,1097,0,133,0,5,0,4
Mast cells,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,3,1
Monocytes,0,2,4,0,66,0,0,2,1,0,1,140,0,955,0,1,0,6
Multiciliated lineage,0,3,1,4,0,0,0,1,0,0,0,1,0,3,1352,24,1,0
Secretory,7,32,1,74,2,0,0,0,0,0,0,3,0,1,7,1155,42,0
Submucosal Secretory,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,84,239,0
T cell lineage,2,5,6,8,1,0,2,0,0,80,0,2,0,5,2,1,0,996
