representation,scheme,pred_prob_correct,coef_intercept,coef_scheme_comparison,scheme_coef_name
harmony,donor_held_out,0.8062684783241849,1.4259434950095862,0.07769218552198166,C(scheme)[T.random]
harmony,random,0.8181160990917421,1.4259434950095862,0.07769218552198166,C(scheme)[T.random]
hvg,donor_held_out,0.8191455140662748,1.510568978112611,0.12526340706443045,C(scheme)[T.random]
hvg,random,0.8369670513461962,1.510568978112611,0.12526340706443045,C(scheme)[T.random]
pca,donor_held_out,0.8426553377712636,1.6781193223914268,0.1311652692295774,C(scheme)[T.random]
pca,random,0.859275388462605,1.6781193223914268,0.1311652692295774,C(scheme)[T.random]
scvi,donor_held_out,0.8030195402535796,1.4052745130009678,0.10363342479775126,C(scheme)[T.random]
scvi,random,0.818899306892819,1.4052745130009678,0.10363342479775126,C(scheme)[T.random]
