scheme,representation,macro_f1,accuracy,n_cells_used,n_classes_used
random,pca,0.7898369048835647,0.8229475766567754,10107,13
random,hvg,0.789520401436745,0.8170128585558852,10107,13
random,scvi,0.7574880129776252,0.7917903066271019,10107,13
random,harmony,0.7555494768568827,0.7898120672601385,10107,13
