representation,random_macro_f1,donor_macro_f1,analysis,inflation_delta
harmony,0.7610497129378414,0.7379880544102989,No batch covariate,0.023061658527542495
hvg,0.880128351223938,0.8590636635226165,No batch covariate,0.021064687701321416
pca,0.8140871354725547,0.792558487530139,No batch covariate,0.021528647942415713
scvi,0.8887924745903565,0.8774232929023235,No batch covariate,0.011369181688033025
harmony,0.8250551237300261,0.7883016848295478,With batch covariate,0.03675343890047833
hvg,0.8827390726922925,0.860425260550362,With batch covariate,0.02231381214193051
pca,0.8278095603019751,0.7944768824614428,With batch covariate,0.03333267784053229
scvi,0.897033582872932,0.8807435895552105,With batch covariate,0.01628999331772152
