representation,random_macro_f1,donor_macro_f1,analysis,inflation_delta
harmony,0.9458540375933074,0.9456727107445873,No batch covariate,0.0001813268487201869
hvg,0.9719627289346076,0.9711795149614928,No batch covariate,0.0007832139731147603
pca,0.9506828937531907,0.9498890947395348,No batch covariate,0.0007937990136559492
harmony,0.9460470386403637,0.9453167459992734,With batch covariate,0.0007302926410902577
hvg,0.9725834855169413,0.9718372242222612,With batch covariate,0.0007462612946801395
pca,0.9511699812379387,0.9504808839306832,With batch covariate,0.0006890973072555262
