representation,random_macro_f1,donor_macro_f1,dataset,inflation_delta
harmony,0.9552119211144134,0.929196901934754,kidney,0.026015019179659427
hvg,0.9786573469908003,0.9787607098437234,kidney,-0.00010336285292311675
pca,0.9818690572085697,0.9768032807132938,kidney,0.005065776495275842
scvi,0.9808767465225205,0.9748883476877704,kidney,0.005988398834750108
harmony,0.9846914084613282,0.9838687140847596,pancreas,0.0008226943765685668
hvg,0.9918033301648693,0.9890159443501864,pancreas,0.0027873858146829633
pca,0.9850189808239749,0.9851912716002412,pancreas,-0.00017229077626634837
scvi,0.9868375279294248,0.9864191421999252,pancreas,0.00041838572949959296
