representation,random_macro_f1,donor_macro_f1,analysis,inflation_delta
harmony,0.777267220560059,0.7576333050249427,No site covariate,0.019633915535116286
hvg,0.7958592294769449,0.7682513085616809,No site covariate,0.027607920915263984
pca,0.8174653904404311,0.7901200266343473,No site covariate,0.027345363806083767
scvi,0.7697623068613114,0.7438923693395212,No site covariate,0.02586993752179023
harmony,0.7841359695423129,0.759786716005984,With site covariate,0.024349253536328885
hvg,0.7954629995860693,0.7679409042082322,With site covariate,0.027522095377837008
pca,0.8160193611565113,0.791469237679704,With site covariate,0.024550123476807295
scvi,0.7758086091049397,0.7435773012721838,With site covariate,0.03223130783275585
