,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,254,997,0,860,165,984,0
CD4+ T cells,223,1087,0,793,168,1049,0
MAIT cells,186,693,0,603,159,771,0
Myeloid cells,206,1043,0,827,212,1032,0
NK cells,7,1,0,9,3248,28,0
TRAV1-2- CD8+ T cells,228,1041,0,853,164,1029,0
gd T cells,200,845,0,721,157,894,0
