,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,700,726,82,661,144,678,269
CD4+ T cells,683,752,90,668,141,729,257
MAIT cells,444,538,82,498,140,527,183
Myeloid cells,660,702,121,663,185,720,269
NK cells,7,10,9,17,3233,7,10
TRAV1-2- CD8+ T cells,637,771,110,661,144,721,271
gd T cells,581,573,72,587,134,614,256
