,T cell,epithelial cell of proximal tubule,kidney capillary endothelial cell,kidney loop of Henle cortical thick ascending limb epithelial cell,kidney loop of Henle descending limb epithelial cell,mononuclear phagocyte,natural killer cell
T cell,99,0,0,0,0,4,1
epithelial cell of proximal tubule,0,327,0,1,0,0,0
kidney capillary endothelial cell,0,1,61,0,0,0,0
kidney loop of Henle cortical thick ascending limb epithelial cell,0,0,0,190,10,3,0
kidney loop of Henle descending limb epithelial cell,0,0,0,3,13,0,0
mononuclear phagocyte,0,0,0,0,0,78,0
natural killer cell,1,0,0,0,0,0,12
