fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,hvg,0.9853181620015966,0.9927333705980995,6623,1789,7,15,4,None,0
2,hvg,0.9816561446222092,0.9932432432432432,6488,1924,7,15,4,None,0
3,hvg,0.9834819563042559,0.9958549222797928,6482,1930,7,15,4,None,0
4,hvg,0.9827560887805157,0.9969465648854962,6447,1965,7,15,4,None,0
5,hvg,0.958487526692697,0.9850746268656716,7608,804,7,16,3,None,0
