,T cell,epithelial cell of proximal tubule,kidney capillary endothelial cell,kidney loop of Henle cortical thick ascending limb epithelial cell,kidney loop of Henle descending limb epithelial cell,mononuclear phagocyte,natural killer cell
T cell,153,0,0,0,0,2,0
epithelial cell of proximal tubule,0,1169,0,0,0,0,0
kidney capillary endothelial cell,0,0,80,0,0,0,0
kidney loop of Henle cortical thick ascending limb epithelial cell,0,0,0,155,6,0,0
kidney loop of Henle descending limb epithelial cell,0,1,0,6,37,0,0
mononuclear phagocyte,0,0,0,0,0,181,0
natural killer cell,14,0,0,0,0,0,120
