,T cell,epithelial cell of proximal tubule,kidney capillary endothelial cell,kidney loop of Henle cortical thick ascending limb epithelial cell,kidney loop of Henle descending limb epithelial cell,mononuclear phagocyte,natural killer cell,renal alpha-intercalated cell,renal principal cell
T cell,151,0,0,0,0,2,2,0,0
epithelial cell of proximal tubule,0,1169,0,0,0,0,0,0,0
kidney capillary endothelial cell,0,0,80,0,0,0,0,0,0
kidney loop of Henle cortical thick ascending limb epithelial cell,0,0,0,159,2,0,0,0,0
kidney loop of Henle descending limb epithelial cell,0,2,0,1,41,0,0,0,0
mononuclear phagocyte,0,0,0,0,0,181,0,0,0
natural killer cell,4,0,0,0,0,0,130,0,0
renal alpha-intercalated cell,0,0,0,0,0,0,0,31,0
renal principal cell,0,0,0,0,0,0,0,0,45
