,T cell,epithelial cell of proximal tubule,kidney capillary endothelial cell,kidney loop of Henle cortical thick ascending limb epithelial cell,kidney loop of Henle descending limb epithelial cell,mononuclear phagocyte,natural killer cell
T cell,91,0,0,0,0,2,1
epithelial cell of proximal tubule,0,1590,0,0,1,0,0
kidney capillary endothelial cell,0,1,43,0,0,0,0
kidney loop of Henle cortical thick ascending limb epithelial cell,0,0,0,74,1,0,0
kidney loop of Henle descending limb epithelial cell,0,1,0,1,29,0,0
mononuclear phagocyte,0,0,0,0,0,125,0
natural killer cell,0,0,0,0,0,0,5
