scheme,representation,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,n_folds,mean_train_cells,mean_test_cells,mean_n_classes_used,batch_covariate,mean_n_batch_features
donor_cv,hvg,0.9783399756802549,0.011177587074615308,0.9927705455744606,0.004647701227052095,5,6729.6,1682.4,7.0,None,0.0
donor_cv,pca,0.9743248152971621,0.01255694323029565,0.9918857687268717,0.005323322561027011,5,6729.6,1682.4,7.0,None,0.0
donor_cv,harmony,0.8991596099132346,0.05379124340955402,0.9738269940193162,0.01980407615540426,5,6729.6,1682.4,7.0,None,0.0
donor_cv,scvi,0.9656790343424795,0.02475529596843589,0.9885908019874027,0.010834067587308658,5,6729.6,1682.4,7.0,None,0.0
