donor_id,n_cells
A30,700
A15,700
FC04,700
E18,700
C12,700
A07,700
D02,700
A21,700
A27,700
A29,700
D12,700
E11,700
FA07,700
A11,700
A04,700
B10,700
E22,700
C11,700
B14,700
A31,700
A18,700
C13,700
C16,700
A24,700
A26,700
B20,700
A01,700
B06,700
B13,700
A13,700
FC01,700
FA05,700
E21,700
FD06,700
A19,700
A17,700
FB04,700
FA02,700
FC02,700
A03,700
FE05,700
A33,700
C05,700
B01,700
A41,700
A23,700
B18,700
B03,700
A09,700
A34,700
A28,700
A20,700
FA04,700
A05,700
E08,700
C15,700
A08,700
D17,700
A14,700
C09,700
B12,699
FB05,699
A22,698
D09,697
C10,696
E16,696
C01,696
D03,689
A37,688
B16,686
E05,686
A36,685
D24,681
E13,681
E09,679
C06,677
E14,675
B04,675
D05,673
B05,672
FA08,671
FE01,671
E20,669
A38,669
FA01,668
E03,667
D16,665
B17,663
A02,662
E12,659
E27,659
B23,658
C07,658
E06,657
D01,654
E04,653
D20,653
FA06,652
E23,651
FE07,651
FD04,651
D08,650
FD02,649
D23,649
B19,648
FB02,648
B21,647
A35,646
C17,644
D13,644
D14,644
B15,643
B24,641
C04,641
D19,641
B08,640
D11,639
A10,638
FE09,638
B11,636
E10,635
A40,633
B09,632
A12,630
D04,629
FE04,625
FB03,623
E02,621
D18,620
FE02,617
FB01,615
C08,615
FD01,611
D10,610
FA03,609
FD03,608
A16,608
FB06,608
E30,605
E15,604
D06,604
FB07,604
A25,603
FE03,602
A06,600
D21,597
FC06,593
D07,590
FE10,588
FE08,588
D22,578
B02,573
C18,573
FE06,572
B22,562
E19,561
E07,561
C14,558
E01,549
FC03,547
E24,539
FD05,513
E29,507
D15,480
E26,467
C02,400
