scheme,representation,macro_f1,accuracy,n_cells_used,n_classes_used,batch_covariate,n_batch_features,repeat_seed
random_split,hvg,0.8770534613766632,0.8562529947292765,83479,30,None,0,42
random_split,pca,0.811266885215471,0.7986344034499281,83479,30,None,0,42
random_split,harmony,0.72432090931307,0.7420340201245808,83479,30,None,0,42
random_split,scvi,0.8849841422404967,0.8662553905126976,83479,30,None,0,42
random_split,hvg,0.8795593246038005,0.8591878294202204,83479,30,None,0,43
random_split,pca,0.8099489215942449,0.7995328222328701,83479,30,None,0,43
random_split,harmony,0.7350520851567995,0.7519166267369429,83479,30,None,0,43
random_split,scvi,0.8854123051813033,0.866435074269286,83479,30,None,0,43
random_split,hvg,0.8807870741389695,0.8602659319597509,83479,30,None,0,44
random_split,pca,0.8159278274071448,0.8026473406804024,83479,30,None,0,44
random_split,harmony,0.7296593059182767,0.747963584091998,83479,30,None,0,44
random_split,scvi,0.8892258190569481,0.8696094873023479,83479,30,None,0,44
random_split,hvg,0.8749570530536074,0.8552347867752755,83479,30,None,0,45
random_split,pca,0.8105181672997469,0.7981552467656924,83479,30,None,0,45
random_split,harmony,0.7238844450974669,0.745148538572113,83479,30,None,0,45
random_split,scvi,0.8851077814296953,0.8651173933876377,83479,30,None,0,45
random_split,hvg,0.8774325806667427,0.8559535218016291,83479,30,None,0,46
random_split,pca,0.8077150246494451,0.7928246286535697,83479,30,None,0,46
random_split,harmony,0.7281418928973066,0.7459271681839962,83479,30,None,0,46
random_split,scvi,0.8843078552662098,0.8643986583612842,83479,30,None,0,46
