,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,1145,0,0,0,0,0,0,0,8,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,208,32,0,0,1,0,3,0,1,0,0,2
"CD16-positive, CD56-dim natural killer cell, human",0,17,1505,0,0,49,2,5,3,0,0,0,1
T-helper 22 cell,0,0,0,394,192,0,12,6,0,22,0,23,20
"central memory CD4-positive, alpha-beta T cell",0,0,3,112,750,14,19,11,0,11,0,148,47
"effector CD8-positive, alpha-beta T cell",0,0,20,1,4,566,23,26,15,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,1,4,2,40,403,67,3,22,0,6,44
gamma-delta T cell,2,2,22,54,36,58,70,114,2,29,0,13,12
mature NK T cell,10,0,11,0,0,57,3,5,357,1,0,4,1
mucosal invariant T cell,0,0,1,35,6,3,44,38,0,196,0,15,8
naive B cell,0,0,0,0,0,0,0,0,0,0,624,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,35,168,0,2,5,0,9,0,1209,51
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,82,90,1,20,9,0,3,0,83,493
