,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,760,741,11,1014,53,674,7
CD4+ T cells,751,754,22,1064,56,667,6
MAIT cells,532,477,21,816,59,495,12
Myeloid cells,673,740,27,1096,78,702,4
NK cells,3,5,1,70,3213,1,0
TRAV1-2- CD8+ T cells,741,741,31,1076,38,679,9
gd T cells,568,633,23,893,42,651,7
