,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3259,1,0,0,0,0,0
CD4+ T cells,0,3235,10,0,1,55,19
MAIT cells,0,13,2334,0,0,35,30
Myeloid cells,0,0,1,3318,1,0,0
NK cells,1,2,1,0,3244,8,37
TRAV1-2- CD8+ T cells,0,89,25,0,11,3125,65
gd T cells,0,27,36,0,28,89,2637
