,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,798,689,4,946,49,771,3
CD4+ T cells,801,703,5,990,51,768,2
MAIT cells,571,434,3,767,59,575,3
Myeloid cells,745,697,5,1001,75,796,1
NK cells,1,1,2,68,3218,3,0
TRAV1-2- CD8+ T cells,781,698,10,1000,37,782,7
gd T cells,597,591,4,836,44,744,1
