fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,harmony,0.8023944424125605,0.794687533269456,65180,18786,31,83,21,batch,13
2,harmony,0.7977296188097232,0.7888034132781693,68497,15469,31,83,21,batch,13
3,harmony,0.8102619531078437,0.8093931745857567,65740,18226,31,83,21,batch,13
4,harmony,0.7355139693001551,0.7588413607275177,69121,14845,31,83,21,batch,13
5,harmony,0.7956084405174567,0.7887019230769231,67326,16640,31,84,20,batch,13
