fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,pca,0.8077384036196246,0.7972958586181199,65180,18786,31,83,21,batch,13
2,pca,0.8023699851665831,0.7958497640442175,68497,15469,31,83,21,batch,13
3,pca,0.8186886533866743,0.8152090420278723,65740,18226,31,83,21,batch,13
4,pca,0.7438696937326381,0.7659144493095318,69121,14845,31,83,21,batch,13
5,pca,0.7997176764016938,0.7924278846153846,67326,16640,31,84,20,batch,13
