fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,scvi,0.8851748188705153,0.8663366336633663,65180,18786,31,83,21,batch,13
2,scvi,0.874836668305209,0.8587497575796755,68497,15469,31,83,21,batch,13
3,scvi,0.8937816217182227,0.8739712498628334,65740,18226,31,83,21,batch,13
4,scvi,0.8613692474668176,0.8459413944088919,69121,14845,31,83,21,batch,13
5,scvi,0.888555591415288,0.8685697115384615,67326,16640,31,84,20,batch,13
