,B cell,"CD14-low, CD16-positive monocyte",CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human","CD34-positive, CD38-negative hematopoietic stem cell","CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell","ILC1, human",IgA plasma cell,IgG plasma cell,IgM plasma cell,T follicular helper cell,T-helper 1 cell,T-helper 2 cell,T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell",class switched memory B cell,dendritic cell,"dendritic cell, human","effector CD8-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",erythrocyte,"erythroid progenitor cell, mammalian",gamma-delta T cell,"group 2 innate lymphoid cell, human",immature B cell,mature NK T cell,mucosal invariant T cell,myeloid dendritic cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell",natural killer cell,plasmablast,plasmacytoid dendritic cell,platelet,regulatory T cell,unswitched memory B cell
"effector CD8-positive, alpha-beta T cell",0,0,0,0,11,0,0,0,0,0,0,0,1,1,0,2,5,0,0,0,571,0,25,0,0,31,0,0,4,0,0,0,0,1,0,0,0,4,0,0
"effector memory CD4-positive, alpha-beta T cell",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,3,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,26,0,431,0,0,55,0,0,1,22,0,0,3,43,0,0,0,2,0,0
erythrocyte,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,46,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"erythroid progenitor cell, mammalian",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
gamma-delta T cell,0,0,0,0,22,0,0,0,0,0,0,0,9,0,0,45,38,0,0,0,33,0,41,0,0,150,0,0,3,45,0,0,18,7,0,0,0,3,0,0
"group 2 innate lymphoid cell, human",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
immature B cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,79,0,0,0,0,0,0,0,0
mature NK T cell,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,60,0,5,0,0,4,0,0,355,0,0,0,4,0,0,0,0,1,0,0
mucosal invariant T cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,4,0,28,0,0,29,0,0,0,233,0,0,19,4,0,0,0,0,0,0
myeloid dendritic cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0
naive B cell,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,6,0,0,0,587,1,0,0,0,0,0,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,97,0,0,0,0,1,0,0,0,2,0,0,0,6,0,0,1312,42,0,0,0,1,0,0
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68,78,0,0,0,0,2,19,0,0,8,0,0,0,4,0,0,93,505,0,0,0,3,0,0
natural killer cell,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
plasmablast,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
plasmacytoid dendritic cell,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0
platelet,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,9,11,0,0,0,3,0,4,0,0,4,0,0,0,1,0,0,4,5,0,0,0,151,1,0
regulatory T cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unswitched memory B cell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,1
