fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,X_scVI,0.549335675729148,0.7990012484394506,8886,2403,40,18,5,None,0
2,X_scVI,0.4704652527004338,0.7158447857720291,8815,2474,40,18,5,None,0
3,X_scVI,0.5327268328012118,0.7592668024439918,8834,2455,40,18,5,None,0
4,X_scVI,0.5375746198864367,0.720871327254306,9315,1974,40,19,4,None,0
5,X_scVI,0.5186122309059544,0.773071104387292,9306,1983,40,19,4,None,0
