,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,493,10,0,1,0,0,1,0,1,0,0,2,0,0,0,7,0,0
AT2,14,954,0,2,2,0,0,1,0,0,1,1,0,1,0,28,0,0
B cell lineage,0,1,515,1,20,0,0,0,0,0,0,7,1,0,1,1,0,12
Basal,0,2,3,822,0,0,0,0,1,2,0,1,0,1,0,52,1,3
Dendritic cells,0,0,40,0,853,0,1,0,0,0,0,73,0,34,2,1,2,8
EC arterial,0,1,0,1,1,350,69,125,0,0,0,0,0,0,0,0,0,0
EC capillary,0,0,1,0,0,55,431,21,0,0,2,1,0,1,0,0,0,0
EC venous,0,3,4,0,0,98,30,731,1,1,1,0,0,0,1,0,1,0
Fibroblasts,0,0,0,0,0,0,1,0,722,0,0,2,0,0,0,0,2,0
Innate lymphoid cell NK,0,0,0,0,0,0,0,0,0,541,0,0,0,0,0,0,0,79
Lymphatic EC mature,0,0,0,1,0,0,0,4,0,0,376,0,0,1,0,0,0,0
Macrophages,0,2,1,0,69,0,1,0,0,0,0,1075,2,150,0,7,0,4
Mast cells,0,0,0,0,0,0,0,0,0,1,0,0,439,0,0,0,3,0
Monocytes,0,1,2,1,50,0,0,1,0,0,0,138,1,978,0,1,1,4
Multiciliated lineage,0,1,1,3,0,0,0,0,0,0,0,1,0,1,1368,15,0,0
Secretory,12,34,0,83,2,0,0,0,0,0,0,0,0,2,13,1134,42,2
Submucosal Secretory,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,68,255,0
T cell lineage,0,2,5,6,1,0,0,0,2,89,0,0,0,5,2,0,0,998
