,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,574,5,0,5,0,0,0,0,0,0,0,1,1,0,0,13,0,1
AT2,30,698,1,12,1,0,0,0,0,0,0,0,1,1,2,46,4,1
B cell lineage,0,1,569,0,19,0,0,0,1,0,0,2,0,10,0,2,0,33
Basal,0,1,4,1004,1,0,0,1,0,2,0,0,0,0,0,94,1,5
Dendritic cells,0,0,94,0,763,0,0,0,0,1,0,87,0,43,0,3,0,5
EC arterial,0,0,0,0,0,327,146,160,0,1,0,0,0,0,0,1,1,1
EC capillary,2,0,0,0,0,61,529,32,0,0,5,0,0,0,0,0,0,1
EC venous,0,0,1,2,0,146,53,738,0,0,0,0,0,1,0,0,1,0
Fibroblasts,0,1,2,0,0,1,1,0,791,0,1,1,0,0,3,1,5,1
Innate lymphoid cell NK,0,0,1,0,0,0,0,0,0,671,0,0,0,0,0,0,0,120
Lymphatic EC mature,0,6,0,0,0,1,0,0,0,0,363,0,0,0,0,0,0,0
Macrophages,0,2,3,2,93,0,0,1,0,3,0,878,1,231,0,11,2,7
Mast cells,0,0,0,1,0,0,0,0,0,2,0,0,461,0,0,0,0,2
Monocytes,1,1,3,0,43,0,0,0,0,0,0,77,0,1074,1,3,1,2
Multiciliated lineage,0,1,1,9,0,0,0,1,0,2,0,0,0,0,1636,31,1,0
Secretory,17,24,0,69,0,0,0,0,0,0,0,3,0,2,12,1322,90,1
Submucosal Secretory,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,106,288,2
T cell lineage,1,2,18,4,1,1,0,0,0,86,0,0,0,3,2,7,1,1086
