,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,717,16,0,1,1,1,3,0,2,0,0,3,0,1,0,6,0,0
AT2,4,1110,0,5,1,0,0,0,8,0,6,1,0,0,0,11,4,1
B cell lineage,0,0,521,0,5,0,0,1,0,3,2,6,0,0,0,0,0,2
Basal,4,3,0,765,0,2,0,0,0,0,0,0,0,0,2,103,2,0
Dendritic cells,0,1,4,0,1014,0,0,0,0,0,0,71,0,30,2,4,0,4
EC arterial,0,3,0,0,0,707,17,20,0,1,0,1,0,0,0,2,0,0
EC capillary,0,1,0,1,0,35,487,21,2,1,3,3,0,1,0,0,0,1
EC venous,0,3,0,0,1,18,42,943,0,1,1,0,0,0,0,0,2,0
Fibroblasts,5,2,0,0,0,0,0,4,890,0,0,0,0,1,0,0,0,0
Innate lymphoid cell NK,0,0,0,0,0,0,0,0,1,453,0,0,0,0,0,0,0,17
Lymphatic EC mature,0,0,0,0,0,0,6,10,1,0,558,1,0,0,0,0,0,1
Macrophages,0,1,2,1,39,0,0,0,2,0,0,1456,2,43,0,5,0,1
Mast cells,1,0,0,1,1,0,0,0,0,0,0,4,432,0,0,0,0,0
Monocytes,0,1,0,0,20,8,5,3,1,1,1,110,3,962,0,0,0,9
Multiciliated lineage,1,4,0,1,0,0,0,0,2,0,0,1,0,1,1766,23,0,0
Secretory,13,23,1,51,1,1,0,1,0,0,0,5,0,4,22,1606,34,0
Submucosal Secretory,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,16,284,0
T cell lineage,1,0,4,4,2,0,1,2,9,45,0,2,0,7,1,0,0,1065
