,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,231,16,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
AT2,10,919,1,2,0,0,0,0,0,0,0,1,0,1,3,9,0,0
B cell lineage,0,0,527,0,2,0,0,0,1,1,0,2,0,0,0,0,0,6
Basal,1,6,0,673,4,2,0,0,2,1,0,3,0,2,7,109,1,1
Dendritic cells,0,0,1,2,984,0,1,0,0,0,0,88,0,57,0,1,0,2
EC arterial,0,0,1,2,0,482,50,16,0,0,1,0,0,2,0,0,1,0
EC capillary,0,0,1,0,1,23,441,42,0,1,1,2,0,3,1,0,0,1
EC venous,0,1,0,5,2,20,32,881,2,0,3,2,0,3,2,3,0,0
Fibroblasts,1,0,0,0,1,0,1,1,854,0,0,1,0,0,0,2,0,2
Innate lymphoid cell NK,0,1,0,0,1,0,0,0,0,474,0,1,0,0,0,0,0,53
Lymphatic EC mature,0,0,0,0,0,0,0,3,0,0,250,1,0,0,0,0,1,0
Macrophages,0,0,1,0,99,0,2,0,1,0,0,970,0,101,0,1,1,1
Mast cells,0,0,1,0,1,0,0,0,0,0,0,2,578,0,0,0,0,0
Monocytes,1,3,2,0,46,0,1,0,0,1,0,79,1,1110,0,0,0,1
Multiciliated lineage,0,0,0,14,0,0,0,0,0,1,0,0,0,0,1242,22,0,0
Secretory,0,7,1,49,1,0,0,0,0,0,0,2,0,1,14,1039,4,1
Submucosal Secretory,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,12,391,0
T cell lineage,0,2,4,0,7,0,0,0,0,32,0,0,0,3,0,0,0,1038
