,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,445,11,0,2,0,0,0,0,0,0,0,1,0,0,0,11,0,0
AT2,45,1102,0,28,0,0,1,0,0,1,0,9,0,6,2,27,1,1
B cell lineage,0,0,395,2,57,0,0,0,1,0,0,4,0,2,0,0,0,52
Basal,3,2,1,714,0,0,0,0,1,0,0,0,0,1,0,36,0,3
Dendritic cells,0,3,17,0,740,0,1,0,0,0,0,60,0,36,0,0,0,1
EC arterial,0,4,0,0,0,233,21,155,1,0,2,1,0,0,0,0,0,3
EC capillary,1,1,0,1,0,44,308,35,2,0,1,0,1,1,0,0,0,2
EC venous,0,1,0,0,0,34,49,493,0,0,4,0,2,0,0,0,0,1
Fibroblasts,1,0,0,0,0,0,0,0,545,0,0,0,1,1,0,0,3,2
Innate lymphoid cell NK,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,104
Lymphatic EC mature,0,0,0,1,0,0,1,1,1,0,339,0,0,2,0,0,0,0
Macrophages,1,0,3,0,88,0,1,0,0,1,0,1058,1,151,1,0,0,6
Mast cells,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,1,1
Monocytes,0,1,0,0,102,0,0,1,1,3,0,146,0,907,0,0,0,3
Multiciliated lineage,0,1,2,2,3,0,0,1,0,0,0,1,0,1,937,14,0,1
Secretory,10,32,6,127,2,0,0,0,0,0,0,2,0,2,13,754,37,4
Submucosal Secretory,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,118,188,1
T cell lineage,0,2,23,3,3,0,0,0,1,49,0,1,0,2,0,1,0,845
