,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,698,26,0,0,0,0,2,0,8,0,0,7,1,0,0,8,0,1
AT2,0,1110,1,3,2,0,0,0,4,0,5,1,0,1,0,21,2,1
B cell lineage,0,0,456,2,26,0,5,1,0,0,2,16,1,4,4,0,0,23
Basal,3,11,0,780,0,0,0,2,0,1,0,1,0,0,1,78,1,3
Dendritic cells,0,1,36,0,941,0,0,0,0,0,0,85,0,57,2,2,1,5
EC arterial,0,3,0,0,2,489,79,174,0,0,0,2,0,0,0,0,0,2
EC capillary,0,1,1,0,0,48,453,17,2,0,1,5,0,3,0,0,0,25
EC venous,0,9,0,0,0,107,56,836,1,0,1,1,0,0,0,0,0,0
Fibroblasts,1,3,0,0,0,1,1,0,891,0,0,2,0,0,0,0,2,1
Innate lymphoid cell NK,0,0,0,0,0,1,0,0,0,407,0,0,0,0,0,0,0,63
Lymphatic EC mature,0,0,0,0,0,0,16,11,0,1,546,2,0,1,0,0,0,0
Macrophages,0,3,0,1,48,0,0,0,2,0,0,1443,1,42,0,10,0,2
Mast cells,0,0,0,0,1,0,0,0,0,0,0,7,431,0,0,0,0,0
Monocytes,0,3,0,0,38,3,1,5,0,1,1,192,2,869,0,1,2,6
Multiciliated lineage,0,5,0,2,0,0,0,0,1,0,0,0,0,3,1761,27,0,0
Secretory,10,66,0,57,0,1,0,0,1,0,0,5,0,1,25,1533,62,1
Submucosal Secretory,0,0,1,5,0,0,2,0,0,0,0,0,0,0,0,71,224,1
T cell lineage,1,1,4,8,1,0,3,0,6,66,0,7,0,11,4,1,0,1030
