,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,694,22,0,9,0,2,1,0,8,0,0,4,1,0,0,9,0,1
AT2,3,1114,0,5,2,0,0,0,4,0,5,0,0,0,0,16,2,0
B cell lineage,3,0,407,3,20,1,3,2,0,0,2,12,1,4,5,1,0,76
Basal,6,6,1,807,0,0,0,1,0,0,0,0,0,0,1,59,0,0
Dendritic cells,0,1,50,0,933,0,0,0,0,0,0,85,0,52,2,4,0,3
EC arterial,0,3,0,1,3,370,77,297,0,0,0,0,0,0,0,0,0,0
EC capillary,0,2,1,4,0,67,422,42,2,0,1,5,0,0,0,0,1,9
EC venous,0,2,0,0,0,103,53,851,1,0,1,0,0,0,0,0,0,0
Fibroblasts,0,4,0,1,0,1,0,0,892,0,0,1,0,1,0,0,2,0
Innate lymphoid cell NK,0,0,0,0,0,4,0,0,0,376,0,0,0,1,0,0,0,90
Lymphatic EC mature,0,0,0,1,0,0,7,6,0,0,559,2,0,2,0,0,0,0
Macrophages,0,4,0,1,65,0,1,0,3,0,0,1419,1,49,0,7,1,1
Mast cells,1,0,0,0,2,0,0,0,0,1,0,5,429,0,0,0,1,0
Monocytes,0,1,1,0,65,2,1,7,0,1,1,164,2,875,0,0,1,3
Multiciliated lineage,1,5,0,3,0,0,0,0,1,0,0,0,0,2,1763,22,2,0
Secretory,10,68,0,53,0,0,0,0,2,0,0,4,0,2,30,1503,87,3
Submucosal Secretory,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,146,151,1
T cell lineage,1,0,16,7,3,3,2,0,6,163,1,4,0,17,5,2,0,913
