,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,481,16,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
AT2,11,861,0,2,1,0,3,0,2,2,0,4,1,0,1,13,0,0
B cell lineage,0,0,546,1,5,0,3,0,0,0,0,0,0,5,2,0,0,2
Basal,3,7,0,791,0,0,0,1,0,1,0,1,0,0,6,59,1,1
Dendritic cells,0,0,6,4,849,0,0,0,0,0,0,56,0,31,1,3,0,2
EC arterial,0,0,0,0,0,338,18,14,0,0,0,0,0,1,0,1,0,0
EC capillary,0,0,1,0,0,35,380,37,1,0,0,2,0,1,0,0,0,1
EC venous,0,2,2,0,0,28,25,802,1,0,0,0,0,1,0,0,0,1
Fibroblasts,0,1,0,0,1,0,2,6,491,1,1,0,0,2,0,3,0,1
Innate lymphoid cell NK,0,0,2,0,5,1,0,0,0,577,0,1,0,1,0,2,0,60
Lymphatic EC mature,0,2,0,0,0,0,2,2,0,0,356,0,0,0,0,0,0,0
Macrophages,0,2,0,0,60,0,1,2,0,0,0,1164,2,46,0,2,0,0
Mast cells,0,0,0,1,1,1,0,0,0,0,0,0,488,1,0,0,0,0
Monocytes,0,1,1,4,24,0,0,0,0,0,0,60,0,1056,0,2,2,3
Multiciliated lineage,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1208,15,0,0
Secretory,9,19,0,62,0,0,0,0,0,0,1,2,0,0,11,1096,12,0
Submucosal Secretory,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,16,209,0
T cell lineage,1,1,5,7,6,0,1,0,0,57,0,0,0,3,1,4,0,1094
