,T cell,epithelial cell of proximal tubule,kidney capillary endothelial cell,kidney loop of Henle cortical thick ascending limb epithelial cell,kidney loop of Henle descending limb epithelial cell,mononuclear phagocyte,natural killer cell,renal alpha-intercalated cell,renal principal cell
T cell,123,0,0,0,0,1,0,0,0
epithelial cell of proximal tubule,1,1147,0,0,0,0,0,0,0
kidney capillary endothelial cell,0,0,51,0,0,0,0,0,0
kidney loop of Henle cortical thick ascending limb epithelial cell,0,0,0,104,1,0,0,0,0
kidney loop of Henle descending limb epithelial cell,0,3,0,2,37,0,0,0,0
mononuclear phagocyte,0,0,0,0,0,144,0,0,0
natural killer cell,2,0,0,0,0,0,67,0,0
renal alpha-intercalated cell,0,0,0,0,0,0,0,27,0
renal principal cell,0,0,0,0,0,0,0,0,40
