cell_type,f1,precision,recall,support
T cell,0.9838709677419355,0.9838709677419355,0.9838709677419355,124.0
epithelial cell of proximal tubule,0.9986950848194868,0.9973935708079931,1.0,1148.0
kidney capillary endothelial cell,1.0,1.0,1.0,51.0
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9952153110047847,1.0,0.9904761904761905,105.0
kidney loop of Henle descending limb epithelial cell,0.951219512195122,0.975,0.9285714285714286,42.0
mononuclear phagocyte,0.9965397923875432,0.993103448275862,1.0,144.0
natural killer cell,0.9781021897810219,0.9852941176470589,0.9710144927536232,69.0
