,B cell,"CD14-low, CD16-positive monocyte",CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human","CD34-positive, CD38-negative hematopoietic stem cell","CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell","ILC1, human",IgA plasma cell,IgG plasma cell,IgM plasma cell,T follicular helper cell,T-helper 1 cell,T-helper 2 cell,T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell",class switched memory B cell,dendritic cell,"dendritic cell, human","effector CD8-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",erythrocyte,"erythroid progenitor cell, mammalian",gamma-delta T cell,"group 2 innate lymphoid cell, human",immature B cell,mature NK T cell,mucosal invariant T cell,myeloid dendritic cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell",natural killer cell,plasmablast,plasmacytoid dendritic cell,platelet,regulatory T cell,unswitched memory B cell
IgG plasma cell,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
IgM plasma cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
T follicular helper cell,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,108,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,1,0,0
T-helper 1 cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0
T-helper 2 cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-helper 22 cell,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,390,184,0,0,0,0,0,13,0,0,6,0,0,0,24,0,0,25,16,0,0,0,9,0,0
"central memory CD4-positive, alpha-beta T cell",0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,111,736,0,0,0,14,0,18,3,0,11,0,0,0,11,0,0,147,45,0,0,0,12,0,0
class switched memory B cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,4
dendritic cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0
"dendritic cell, human",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
"effector CD8-positive, alpha-beta T cell",0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,567,0,22,0,0,24,0,0,13,0,0,0,0,1,0,0,0,2,0,0
"effector memory CD4-positive, alpha-beta T cell",0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,9,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,41,0,406,0,0,62,0,0,3,21,0,0,7,41,0,0,0,4,0,0
erythrocyte,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"erythroid progenitor cell, mammalian",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamma-delta T cell,0,0,1,1,27,0,0,1,0,0,0,0,6,0,0,55,31,0,0,0,57,0,71,1,0,105,0,0,2,29,0,0,13,12,0,0,0,2,0,0
"group 2 innate lymphoid cell, human",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
immature B cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,48,0,0,0,0,0,0,0,1
mature NK T cell,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,0,3,0,0,4,0,0,356,1,0,0,3,1,0,0,0,1,0,0
mucosal invariant T cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,0,5,0,43,0,0,35,0,0,0,201,0,0,15,8,0,0,0,1,0,0
myeloid dendritic cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0
naive B cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,8,0,0,0,590,1,0,0,0,0,0,0,4
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,35,169,0,0,0,0,0,2,0,0,4,0,0,0,9,0,0,1208,50,0,0,0,0,0,0
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,90,0,0,0,1,0,20,0,0,9,0,0,0,2,0,0,86,489,0,0,0,4,0,0
natural killer cell,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
plasmablast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
plasmacytoid dendritic cell,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0
platelet,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,7,20,0,0,0,3,0,1,0,0,0,0,0,2,1,0,1,7,10,0,0,0,141,0,0
regulatory T cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unswitched memory B cell,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,7
