cell_type,f1,precision,recall,support,fold
myeloid dendritic cell,0.9333333333333333,0.875,1.0,28.0,1
naive B cell,0.8579088471849866,0.7655502392344498,0.975609756097561,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8201160541586073,0.7765567765567766,0.8688524590163934,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7711598746081505,0.7592592592592593,0.7834394904458599,157.0,1
natural killer cell,0.0,0.0,0.0,5.0,1
plasmablast,0.0,0.0,0.0,3.0,1
plasmacytoid dendritic cell,0.9777777777777777,0.9565217391304348,1.0,22.0,1
platelet,0.962962962962963,0.9285714285714286,1.0,26.0,1
regulatory T cell,0.0,0.0,0.0,3.0,1
unswitched memory B cell,0.0,0.0,0.0,6.0,1
B cell,0.3333333333333333,0.5,0.25,4.0,2
"CD14-low, CD16-positive monocyte",0.0,0.0,0.0,1.0,2
CD14-positive monocyte,0.9884297520661156,0.9900662251655629,0.9867986798679867,303.0,2
"CD16-negative, CD56-bright natural killer cell, human",0.7321428571428571,0.6833333333333333,0.7884615384615384,52.0,2
"CD16-positive, CD56-dim natural killer cell, human",0.8818565400843883,0.9126637554585153,0.8530612244897959,245.0,2
"CD34-positive, CD38-negative hematopoietic stem cell",0.0,0.0,0.0,1.0,2
"CD4-positive, alpha-beta T cell",0.0,0.0,0.0,0.0,2
"CD8-positive, alpha-beta T cell",0.0,0.0,0.0,3.0,2
"ILC1, human",0.0,0.0,0.0,16.0,2
IgA plasma cell,0.7999999999999999,0.7272727272727273,0.8888888888888888,9.0,2
IgG plasma cell,0.0,0.0,0.0,4.0,2
IgM plasma cell,0.0,0.0,0.0,1.0,2
T follicular helper cell,0.2941176470588235,0.35714285714285715,0.25,20.0,2
T-helper 1 cell,0.0,0.0,0.0,4.0,2
T-helper 2 cell,0.0,0.0,0.0,0.0,2
T-helper 22 cell,0.46249999999999997,0.3474178403755869,0.6915887850467289,107.0,2
"central memory CD4-positive, alpha-beta T cell",0.6476462196861626,0.7992957746478874,0.5443645083932853,417.0,2
class switched memory B cell,0.4705882352941176,0.45454545454545453,0.4878048780487805,41.0,2
dendritic cell,0.6666666666666666,1.0,0.5,6.0,2
"dendritic cell, human",0.8450704225352113,0.967741935483871,0.75,40.0,2
"effector CD8-positive, alpha-beta T cell",0.7563025210084033,0.782608695652174,0.7317073170731707,123.0,2
"effector memory CD4-positive, alpha-beta T cell",0.0,0.0,0.0,1.0,2
"effector memory CD8-positive, alpha-beta T cell",0.6428571428571429,0.6923076923076923,0.6,120.0,2
erythrocyte,0.9019607843137256,0.9583333333333334,0.8518518518518519,27.0,2
"erythroid progenitor cell, mammalian",0.5,0.5,0.5,2.0,2
gamma-delta T cell,0.2085889570552147,0.14655172413793102,0.3617021276595745,47.0,2
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,2.0,2
