,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,720,622,5,1169,74,713,26
CD4+ T cells,704,590,3,1293,67,717,26
MAIT cells,489,304,3,796,79,529,13
Myeloid cells,670,556,7,1327,86,736,18
NK cells,0,1,3,119,3138,3,0
TRAV1-2- CD8+ T cells,675,586,6,1283,72,750,28
gd T cells,563,488,5,1039,80,616,16
