,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,763,725,140,659,1,653,253
CD4+ T cells,825,731,117,722,6,654,245
MAIT cells,615,511,97,560,4,479,205
Myeloid cells,829,771,110,683,2,654,251
NK cells,3,6,1,4,3282,3,1
TRAV1-2- CD8+ T cells,772,709,117,713,3,694,267
gd T cells,692,647,103,589,3,602,239
