,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,701,659,135,642,61,682,346
CD4+ T cells,671,691,139,740,59,640,360
MAIT cells,594,545,118,608,51,569,309
Myeloid cells,700,715,140,713,65,622,345
NK cells,38,26,39,47,3116,13,21
TRAV1-2- CD8+ T cells,688,650,125,708,56,693,380
gd T cells,624,588,109,633,55,584,315
