,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,920,592,37,1183,1,461,0
CD4+ T cells,1042,647,24,1129,4,454,0
MAIT cells,705,384,31,995,3,353,0
Myeloid cells,1001,595,47,1156,5,496,0
NK cells,13,10,1,19,3255,2,0
TRAV1-2- CD8+ T cells,1002,583,36,1183,1,470,0
gd T cells,791,602,30,984,5,461,2
