,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,938,544,12,1240,2,457,1
CD4+ T cells,1013,632,6,1202,4,443,0
MAIT cells,688,377,9,1022,4,371,0
Myeloid cells,990,571,20,1241,5,472,1
NK cells,0,5,1,11,3278,5,0
TRAV1-2- CD8+ T cells,968,578,8,1273,1,447,0
gd T cells,749,590,14,1061,4,456,1
