,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3325,1,0,3,0,0,0
CD4+ T cells,0,3205,26,0,1,101,67
MAIT cells,0,15,2097,0,0,67,34
Myeloid cells,2,1,0,3397,0,0,0
NK cells,0,0,1,0,3240,0,23
TRAV1-2- CD8+ T cells,0,226,19,0,12,2994,149
gd T cells,0,53,63,0,41,209,2441
