,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3243,3,0,2,0,0,0
CD4+ T cells,0,3191,24,0,0,61,24
MAIT cells,0,14,2414,0,0,28,40
Myeloid cells,0,1,0,3299,0,0,0
NK cells,0,0,3,0,3272,0,25
TRAV1-2- CD8+ T cells,0,193,29,0,11,2864,203
gd T cells,0,55,73,0,28,152,2411
