,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3300,0,0,0,0,0,0
CD4+ T cells,0,3211,13,0,0,59,17
MAIT cells,0,5,2029,0,1,29,23
Myeloid cells,0,0,0,3300,0,0,0
NK cells,1,1,1,0,3247,14,36
TRAV1-2- CD8+ T cells,0,87,11,0,15,3123,64
gd T cells,0,36,30,0,50,122,2538
