,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,653,693,194,700,17,660,331
CD4+ T cells,649,704,190,767,18,622,350
MAIT cells,520,513,154,517,21,521,250
Myeloid cells,624,647,219,791,25,660,334
NK cells,7,10,12,11,3236,16,8
TRAV1-2- CD8+ T cells,616,734,200,695,14,683,358
gd T cells,521,581,188,589,24,530,286
