fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,pca,0.9475537994732871,0.9489295374318067,86869,21813,7,132,34,batch,14
2,pca,0.9535586094909748,0.9552693532751696,87019,21663,7,133,33,batch,14
3,pca,0.9412174853309326,0.942704676309507,87319,21363,7,133,33,batch,14
4,pca,0.9535766750671865,0.9545475477780336,86967,21715,7,133,33,batch,14
5,pca,0.956497850291034,0.957384309472162,86554,22128,7,133,33,batch,14
