,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3226,0,0,0,0,0,0
CD4+ T cells,0,3187,32,0,0,56,25
MAIT cells,0,18,2700,0,0,31,45
Myeloid cells,2,0,0,3298,0,0,0
NK cells,0,1,1,0,3242,2,54
TRAV1-2- CD8+ T cells,0,151,20,0,8,2958,163
gd T cells,0,62,48,0,23,201,2574
