,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,684,759,28,714,24,1031,60
CD4+ T cells,721,756,29,672,20,1050,52
MAIT cells,426,450,11,474,24,672,30
Myeloid cells,679,707,31,729,35,1073,46
NK cells,3,5,1,12,3262,17,0
TRAV1-2- CD8+ T cells,652,746,37,725,27,1062,51
gd T cells,562,671,28,557,12,910,36
