,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3224,0,0,2,0,0,0
CD4+ T cells,0,3176,27,1,0,70,26
MAIT cells,0,26,2677,0,0,36,55
Myeloid cells,3,0,0,3297,0,0,0
NK cells,0,1,1,0,3231,15,52
TRAV1-2- CD8+ T cells,0,179,29,0,8,2978,106
gd T cells,0,82,40,0,38,242,2506
