,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,534,1024,71,998,50,555,16
CD4+ T cells,540,944,87,1109,44,554,22
MAIT cells,518,645,53,779,45,444,12
Myeloid cells,551,871,102,1144,75,539,18
NK cells,2,0,1,33,3258,2,4
TRAV1-2- CD8+ T cells,550,935,74,1088,44,590,19
gd T cells,456,702,72,918,49,513,9
