,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3327,1,1,0,0,0,0
CD4+ T cells,0,3293,21,0,2,59,25
MAIT cells,0,13,2139,0,0,40,21
Myeloid cells,2,2,0,3396,0,0,0
NK cells,0,1,0,0,3241,3,19
TRAV1-2- CD8+ T cells,0,130,29,0,11,3159,71
gd T cells,0,39,39,0,45,81,2603
