fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,hvg,0.780802478619527,0.8365831012070566,7953,2154,13,18,5,None,0
2,hvg,0.7282838363479068,0.7852161785216178,7956,2151,13,18,5,None,0
3,hvg,0.7802877408562044,0.8158135283363802,7919,2188,13,18,5,None,0
4,hvg,0.7514035373242134,0.7643487858719646,8295,1812,13,19,4,None,0
5,hvg,0.7909195956409459,0.8196448390677026,8305,1802,13,19,4,None,0
