fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,scanorama,0.40553870806535747,0.5492107706592386,7954,2154,13,18,5,None,0
2,scanorama,0.3937174867475066,0.5402138540213854,7957,2151,13,18,5,None,0
3,scanorama,0.42298607590835535,0.5472818638647784,7919,2189,13,18,5,None,0
4,scanorama,0.405334745920082,0.4878587196467991,8296,1812,13,19,4,None,0
5,scanorama,0.41366850336947486,0.5704772475027747,8306,1802,13,19,4,None,0
