fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,pca,0.8031093460653131,0.8584029712163417,7953,2154,13,18,5,None,0
2,pca,0.7304673763071894,0.7698744769874477,7956,2151,13,18,5,None,0
3,pca,0.8130050859431446,0.8455210237659964,7919,2188,13,18,5,None,0
4,pca,0.7717215601863027,0.7919426048565121,8295,1812,13,19,4,None,0
5,pca,0.7889947434022412,0.827968923418424,8305,1802,13,19,4,None,0
