fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,scvi,0.7636602157711418,0.8291550603528319,7953,2154,13,18,5,None,0
2,scvi,0.69562864473332,0.7461645746164575,7956,2151,13,18,5,None,0
3,scvi,0.7809422156954114,0.8071297989031079,7919,2188,13,18,5,None,0
4,scvi,0.7228127068267747,0.7422737306843267,8295,1812,13,19,4,None,0
5,scvi,0.7564180636709584,0.8113207547169812,8305,1802,13,19,4,None,0
