,T cell,epithelial cell of proximal tubule,kidney capillary endothelial cell,kidney loop of Henle cortical thick ascending limb epithelial cell,kidney loop of Henle descending limb epithelial cell,mononuclear phagocyte,natural killer cell,renal alpha-intercalated cell,renal principal cell
T cell,122,0,0,0,0,0,2,0,0
epithelial cell of proximal tubule,0,1147,0,0,1,0,0,0,0
kidney capillary endothelial cell,0,0,51,0,0,0,0,0,0
kidney loop of Henle cortical thick ascending limb epithelial cell,0,2,0,101,2,0,0,0,0
kidney loop of Henle descending limb epithelial cell,0,1,0,1,40,0,0,0,0
mononuclear phagocyte,1,0,0,0,0,143,0,0,0
natural killer cell,1,0,0,0,0,0,68,0,0
renal alpha-intercalated cell,0,0,0,0,0,0,0,27,0
renal principal cell,0,0,0,0,0,0,0,0,40
